id,order_id,product_id,quantity,price,product_name,variant_info,created_at,selected_color,selected_condition,purchase_type
40,18,36,4,500.00,(A9-2) LED ALAMBRE - 50cm,null,2026-02-15 02:10:57.877551+00,null,null,paquete
41,19,null,1,5000.00,CARTUCHERA,null,2026-02-15 02:10:58.402796+00,null,null,paquete
42,19,42,1,104000.00,(A17) LED RGB 5050 CON FUENTE X 5M,null,2026-02-15 02:10:58.402796+00,null,null,paquete
43,19,null,2,11900.00,(B4-2) CORONA DE FLORES LED - ROSA,null,2026-02-15 02:10:58.402796+00,null,null,paquete
44,20,32,1,1600.00,(B-15-2)GLOBO LED - BLANCO,null,2026-02-15 02:11:31.598454+00,null,null,paquete
45,21,42,1,11300.00,(A17) LED RGB 5050 CON FUENTE X 5M,null,2026-02-15 02:11:32.422319+00,null,null,paquete
46,21,null,3,11900.00,(B4-2) CORONA DE FLORES LED - ROSA,null,2026-02-15 02:11:32.422319+00,null,null,paquete
47,22,134,3,2000.00,B38 - MARIPOSAS 3D,null,2026-02-16 16:38:16.73375+00,null,null,paquete
48,23,131,1,2200.00,B79 - CORBATA LED,null,2026-02-24 13:53:22.075132+00,null,null,paquete
49,23,130,3,13800.00,(A15-4) LED NEON CON FUENTE X 5M - BLANCO FRIO,null,2026-02-24 13:53:22.075132+00,null,null,paquete
50,23,101,4,8000.00,B103 - SOMBRERO CON LENTEJUELAS LED,null,2026-02-24 13:53:22.075132+00,null,null,paquete
51,24,133,4,500.00,(A9-3) LED ALAMBRE - 50cm,null,2026-02-27 12:55:40.825171+00,null,null,paquete
52,24,100,5,3600.00,B-16 - SOMBREROS LED,null,2026-02-27 12:55:40.825171+00,null,null,paquete
53,25,99,1,16300.00,B-14 - COLLAR LED,null,2026-03-05 19:28:14.158836+00,null,null,paquete
54,25,15,1,13300.00,(B49) VARITA LED,null,2026-03-05 19:28:14.158836+00,null,null,paquete
55,25,131,1,23400.00,B79 - CORBATA LED,null,2026-03-05 19:28:14.158836+00,null,null,paquete
56,26,142,2,67500.00,(B48-2) ALAS LED - BLANCA,null,2026-03-16 23:25:39.606175+00,null,null,paquete
57,26,139,3,1400.00,(B2) LENTES LED,null,2026-03-16 23:25:39.606175+00,null,null,paquete
58,26,132,1,21200.00,B58 - MOÑO LED,null,2026-03-16 23:25:39.606175+00,null,null,paquete
59,26,131,1,23400.00,B79 - CORBATA LED,null,2026-03-16 23:25:39.606175+00,null,null,paquete
60,26,null,2,58300.00,COMBO DE COTILLON LED DE 50 ARTICULOS,null,2026-03-16 23:25:39.606175+00,null,null,paquete
61,27,133,10,500.00,(A9-3) LED ALAMBRE - 50cm,null,2026-03-17 13:02:47.754834+00,null,null,paquete
62,28,127,1,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-17 13:06:46.531786+00,null,null,paquete
63,28,127,1,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-17 13:06:46.531786+00,null,null,paquete
64,29,128,1,6000.00,L17-1 - CARTUCHERA LISA CON 2 CIERRES,null,2026-03-17 15:33:23.108581+00,null,null,paquete
65,30,133,1,500.00,(A9-3) LED ALAMBRE - 50cm,null,2026-03-17 17:43:33.282418+00,null,null,paquete
66,31,133,1,500.00,(A9-3) LED ALAMBRE - 50cm,null,2026-03-17 17:48:54.288967+00,null,null,paquete
67,34,133,1,500.00,(A9-3) LED ALAMBRE - 50cm,null,2026-03-17 22:33:08.893416+00,ROSA,unidad,unidad
68,35,127,1,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-17 23:20:36.234553+00,VERDE,unidad,unidad
69,35,127,2,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-17 23:20:36.234553+00,LILA,unidad,unidad
70,36,127,1,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-17 23:22:19.572248+00,VERDE,unidad,unidad
71,36,127,2,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-17 23:22:19.572248+00,LILA,unidad,unidad
72,36,139,1,1400.00,(B2) LENTES LED,null,2026-03-17 23:22:19.572248+00,MULTICOLOR,unidad,unidad
73,36,139,2,12400.00,(B2) LENTES LED,null,2026-03-17 23:22:19.572248+00,MULTICOLOR,paquete,paquete
74,37,null,1,98700.00,(B106-2) COMBO LED MIXTO DE 80 ARTICULOS,null,2026-03-19 21:47:37.419103+00,null,unidad,unidad
75,40,138,1,500.00,STICKER ARGENTINA,null,2026-03-20 04:52:30.820544+00,MESSI,unidad,unidad
76,41,137,1,2500.00,PORTA SUBE CON YOYO,null,2026-03-20 05:04:00.760137+00,MESSI,unidad,unidad
77,42,140,1,12000.00,(B104) TATUAJE TEMPORAL LUMINOSO X 12 UNI,null,2026-03-20 05:13:58.520576+00,BLANCO,unidad,unidad
78,43,135,1,2000.00,B38 - 1 TOPPER,null,2026-03-20 05:24:13.360217+00,VERDE,unidad,unidad
79,44,null,1,98700.00,(B106-2) COMBO LED MIXTO DE 80 ARTICULOS,null,2026-03-20 14:34:30.05391+00,null,unidad,unidad
80,45,138,1,500.00,STICKER ARGENTINA,null,2026-03-20 14:35:35.656124+00,MESSI,unidad,unidad
81,46,140,1,12000.00,(B104) TATUAJE TEMPORAL LUMINOSO X 12 UNI,null,2026-03-20 14:40:59.058249+00,BLANCO,unidad,unidad
82,47,126,1,3500.00,L14-1 - CARPETA Nº3,null,2026-03-20 14:58:19.89188+00,NEGRO,unidad,unidad
83,48,159,1,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-20 15:22:57.08088+00,MULTICOLOR,unidad,unidad
84,48,159,2,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-20 15:22:57.08088+00,ROSA,unidad,unidad
85,48,152,1,6000.00,(R2-6) LLAVERO UNICORNIO CON LUZ X 12 UNI,null,2026-03-20 15:22:57.08088+00,MULTICOLOR,unidad,unidad
86,48,144,1,26000.00,(C2) MAQUINA DE INFLAR GLOBOS,null,2026-03-20 15:22:57.08088+00,ROSA,unidad,unidad
87,49,137,1,2500.00,PORTA SUBE CON YOYO,null,2026-03-20 15:25:24.365+00,null,null,paquete
88,49,null,1,246700.00,(B106-4) COMBO LED MIXTO DE 200 ARTICULOS,null,2026-03-20 15:25:24.365+00,null,null,paquete
89,49,140,1,12000.00,(B104) TATUAJE TEMPORAL LUMINOSO X 12 UNI,null,2026-03-20 15:25:24.365+00,null,null,paquete
90,50,138,1,500.00,STICKER ARGENTINA,null,2026-03-20 15:30:33.254369+00,MESSI,unidad,unidad
91,51,142,1,67500.00,(B48-2) ALAS LED - BLANCA,null,2026-03-20 15:31:47.47235+00,BLANCO,unidad,unidad
92,51,139,2,12400.00,(B2) LENTES LED x 12 uni,null,2026-03-20 15:31:47.47235+00,MULTICOLOR,unidad,unidad
93,52,159,3,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-20 15:39:07.772677+00,ROSA,unidad,unidad
94,52,42,2,11300.00,(A17) LED RGB 5050 CON FUENTE X 5M,null,2026-03-20 15:39:07.772677+00,MULTICOLOR,unidad,unidad
95,52,149,3,7000.00,(R2-3) LLAVERO AUTO CON LUZ X 12 UNI,null,2026-03-20 15:39:07.772677+00,MULTICOLOR,unidad,unidad
96,53,152,3,6000.00,(R2-6) LLAVERO UNICORNIO CON LUZ X 12 UNI,null,2026-03-20 15:41:58.176482+00,MULTICOLOR,unidad,unidad
97,53,null,2,246700.00,(B106-4) COMBO LED MIXTO DE 200 ARTICULOS,null,2026-03-20 15:41:58.176482+00,MULTICOLOR,unidad,unidad
98,54,136,1,2000.00,PORTA SUBE CON TIRA,null,2026-03-20 22:21:46.71763+00,GOKU,unidad,unidad
99,55,158,1,34100.00,(L20- 1) AGENDA CON DISEÑOS X 48 UNI,null,2026-03-20 22:25:43.959168+00,OJOTA PLAYERA,unidad,unidad
100,55,159,2,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-20 22:25:43.959168+00,ROSA,unidad,unidad
101,56,159,2,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-24 00:34:33.698475+00,MULTICOLOR,unidad,unidad
102,56,15,2,13300.00,(B49) VARITA LED X 12 UNI,null,2026-03-24 00:34:33.698475+00,MULTICOLOR,unidad,unidad
103,56,139,2,12400.00,(B2) LENTES LED x 12 uni,null,2026-03-24 00:34:33.698475+00,MULTICOLOR,unidad,unidad
