id,name,slug,description,base_price,stock,category_id,subcategory_id,featured,active,created_at,updated_at,units_per_box,boxes_per_bundle,price_box,price_bundle,has_colors,sale_types
15,(B49) VARITA LED X 12 UNI,b49-varita-led,"(B49) VARITA LED
* Stock disponible
* Precio por unidad: $1300
* Tipos de venta: unidad",13300.00,100,40,null,false,true,2026-02-15 01:31:15.124276+00,2026-03-20 12:01:01.520629+00,10,40,13300.00,null,true,"[""unidad""]"
16,(B3) PULSERA LED X 12 UNI,b3-pulsera-led,"(B3) PULSERA LED
* Stock disponible
* Precio por unidad: $700
* Tipos de venta: unidad",7200.00,100,40,null,false,true,2026-02-15 01:31:14.375425+00,2026-03-20 12:01:22.998+00,10,40,7200.00,null,true,"[""unidad""]"
21,(B64) CORONA DE PLUMA LED X 12 UNI,b64-coronas-de-plumas-led-multicolor,"(B64) CORONAS DE PLUMAS LED - MULTICOLOR
* Stock disponible
* Precio por unidad: $1200
* Tipos de venta: unidad",12300.00,100,40,null,false,true,2026-02-15 01:31:11.384301+00,2026-03-20 11:58:47.711054+00,10,40,12300.00,null,true,"[""unidad""]"
22,(B-15-1) GLOBO LED - MULTICOLOR X 10 UNI,b-15-1-globo-led-multicolor,"(B-15-1) GLOBO LED - MULTICOLOR
* Stock disponible
* Precio por unidad: $1600
* Tipos de venta: unidad",13600.00,0,40,null,false,true,2026-02-15 01:31:10.643036+00,2026-03-20 12:13:32.144128+00,10,40,13600.00,null,true,"[""unidad""]"
23,(B61) SILBATO LED X 12 UNI,b61-silbato-led,"(B61) SILBATO LED
* Stock disponible
* Precio por unidad: $1400
* Tipos de venta: unidad",14300.00,100,40,null,false,true,2026-02-15 01:31:09.887455+00,2026-03-20 12:04:33.082447+00,10,40,14300.00,null,true,"[""unidad""]"
24,(A29-1) GUIRNALDA LED 100 LUCES NAVIDAD - 8 EFECTOS - 9M - MULTICOLOR,a29-1-guirnalda-led-100-luces-navidad-8-efectos-9m-multicolor,"(A29-1) GUIRNALDA LED 100 LUCES NAVIDAD - 8 EFECTOS - 9M - MULTICOLOR
* Stock disponible
* Precio por unidad: $3500
* Tipos de venta: unidad",3500.00,100,39,null,false,true,2026-02-15 01:31:09.12659+00,2026-03-03 17:16:20.144601+00,12,40,null,null,true,"[""unidad""]"
25,(A29-2) GUIRNALDA LED 100 LUCES NAVIDAD - 8 EFECTOS - 9M- BLANCA,a29-2-guirnalda-led-100-luces-navidad-8-efectos-9m-blanca,"(A29-2) GUIRNALDA LED 100 LUCES NAVIDAD - 8 EFECTOS - 9M- BLANCA
* Stock disponible
* Precio por unidad: $3500
* Tipos de venta: unidad",3500.00,100,39,null,false,true,2026-02-15 01:31:08.352491+00,2026-03-03 17:16:40.402011+00,12,40,null,null,true,"[""unidad""]"
26,(A29-3) GUIRNALDA LED 100 LUCES NAVIDAD - 8 EFECTOS - 9M - CALIDO,a29-3-guirnalda-led-100-luces-navidad-8-efectos-9m-calido,"(A29-3) GUIRNALDA LED 100 LUCES NAVIDAD - 8 EFECTOS - 9M - CALIDO
* Stock disponible
* Precio por unidad: $3500
* Tipos de venta: unidad",3500.00,100,39,null,false,true,2026-02-15 01:31:07.618584+00,2026-03-03 17:22:06.070316+00,12,40,null,null,true,"[""unidad""]"
27,(A15-1) LED NEON CON FUENTE X 5M - AZUL,a15-1-led-neon-con-fuente-x-5m-azul,"(A15-1) LED NEON CON FUENTE X 5M - AZUL
* Stock disponible
* Precio por unidad: $13800
* Tipos de venta: unidad",13800.00,100,39,null,false,true,2026-02-15 01:31:06.858429+00,2026-03-03 21:19:55.166831+00,12,40,null,null,true,"[""unidad""]"
28,(A15-2) LED NEON CON FUENTE X 5M - ROJO,a15-2-led-neon-con-fuente-x-5m-rojo,"(A15-2) LED NEON CON FUENTE X 5M - ROJO
* Stock disponible
* Precio por unidad: $13800
* Tipos de venta: unidad",13800.00,100,39,null,false,true,2026-02-15 01:31:06.117382+00,2026-03-03 21:20:07.955109+00,12,40,null,null,true,"[""unidad""]"
29,(A15-3) LED NEON CON FUENTE X 5M - ROSA,a15-3-led-neon-con-fuente-x-5m-rosa,"(A15-3) LED NEON CON FUENTE X 5M - ROSA
* Stock disponible
* Precio por unidad: $13800
* Tipos de venta: unidad",13800.00,100,39,null,false,true,2026-02-15 01:31:05.369805+00,2026-03-03 17:21:11.43525+00,12,40,null,null,true,"[""unidad""]"
30,(A15-4) LED NEON CON FUENTE X 5M - VIOLETA,a15-4-led-neon-con-fuente-x-5m-violeta,"(A15-4) LED NEON CON FUENTE X 5M - VIOLETA
* Stock disponible
* Precio por unidad: $13800
* Tipos de venta: unidad",13800.00,0,39,null,false,true,2026-02-15 01:31:04.627115+00,2026-03-03 17:20:52.702182+00,12,40,null,null,true,"[""unidad""]"
31,(A15-5) LED NEON CON FUENTE X 5M - VERDE,a15-5-led-neon-con-fuente-x-5m-verde,"(A15-5) LED NEON CON FUENTE X 5M - VERDE
* Stock disponible
* Precio por unidad: $13800
* Tipos de venta: unidad",13800.00,100,39,null,false,true,2026-02-15 01:31:03.875142+00,2026-03-03 17:20:34.179217+00,12,40,null,null,true,"[""unidad""]"
32,(B-15-2)GLOBO LED - BLANCO X 10 UNI,b-15-2-globo-led-blanco,"(B-15-2)GLOBO LED - BLANCO
* Stock disponible
* Precio por unidad: $1600
* Tipos de venta: unidad",13600.00,1000,40,null,false,true,2026-02-15 01:31:03.122515+00,2026-03-20 12:02:58.194437+00,12,40,null,null,true,"[""unidad""]"
33,(A3-1) LED ALAMBRE - 3M,a3-1-led-alambre-3m,"(A3-1) LED ALAMBRE - 3M
* Stock disponible
* Precio por unidad: $800
* Tipos de venta: unidad",800.00,0,39,null,false,true,2026-02-15 01:31:02.381868+00,2026-03-03 17:26:40.376837+00,12,40,null,null,true,"[""unidad""]"
34,(A3-2) LED ALAMBRE - 3M,a3-2-led-alambre-3m,"(A3-2) LED ALAMBRE - 3M
* Stock disponible
* Precio por unidad: $800
* Tipos de venta: unidad",800.00,0,39,null,false,true,2026-02-15 01:31:01.640349+00,2026-03-03 17:27:04.749733+00,12,40,null,null,true,"[""unidad""]"
35,(A9-1) LED ALAMBRE - 50cm,a9-1-led-alambre-50cm,"(A9-1) LED ALAMBRE - 50cm
* Stock disponible
* Precio por unidad: $500
* Tipos de venta: unidad",500.00,100,39,null,false,true,2026-02-15 01:31:00.898031+00,2026-03-03 17:27:29.320545+00,12,40,null,null,true,"[""unidad""]"
36,(A9-2) LED ALAMBRE - 50cm,a9-2-led-alambre-50cm,"(A9-2) LED ALAMBRE - 50cm
* Consultar stock antes de comprar
* Precio por unidad: $500
* Tipos de venta: unidad",500.00,1000,39,null,false,true,2026-02-15 01:31:00.159894+00,2026-03-03 17:28:02.458861+00,12,40,null,null,true,"[""unidad""]"
37,(A18-1) LED NEON SIN FUENTE X 5M - AZUL,a18-1-led-neon-sin-fuente-x-5m-azul,"(A18-1) LED NEON SIN FUENTE X 5M - AZUL
* Stock disponible
* Precio por unidad: $9500
* Tipos de venta: unidad",9500.00,100,39,null,false,true,2026-02-15 01:30:59.416695+00,2026-03-03 17:28:24.341154+00,12,40,null,null,true,"[""unidad""]"
38,(A18-2) LED NEON SIN FUENTE X 5M - ROJO,a18-2-led-neon-sin-fuente-x-5m-rojo,"(A18-2) LED NEON SIN FUENTE X 5M - ROJO
* Stock disponible
* Precio por unidad: $9500
* Tipos de venta: unidad",9500.00,100,39,null,false,true,2026-02-15 01:30:58.214777+00,2026-03-03 17:29:06.807584+00,12,40,null,null,true,"[""unidad""]"
39,(A18-3) LED NEON SIN FUENTE X 5M - ROSA,a18-3-led-neon-sin-fuente-x-5m-rosa,"(A18-3) LED NEON SIN FUENTE X 5M - ROSA
* Stock disponible
* Precio por unidad: $9500
* Tipos de venta: unidad",9500.00,100,39,null,false,true,2026-02-15 01:30:57.461014+00,2026-03-03 17:29:28.915477+00,12,40,null,null,true,"[""unidad""]"
40,(A18-4) LED NEON SIN FUENTE X 5M - VIOLETA,a18-4-led-neon-sin-fuente-x-5m-violeta,"(A18-4) LED NEON SIN FUENTE X 5M - VIOLETA
* Stock disponible
* Precio por unidad: $9500
* Tipos de venta: unidad",9500.00,0,39,null,false,true,2026-02-15 01:30:56.701394+00,2026-03-03 17:29:55.390955+00,12,40,null,null,true,"[""unidad""]"
41,(A18-5) LED NEON SIN FUENTE X 5M - VERDE,a18-5-led-neon-sin-fuente-x-5m-verde,"(A18-5) LED NEON SIN FUENTE X 5M - VERDE
* Stock disponible
* Precio por unidad: $9500
* Tipos de venta: unidad",9500.00,100,39,null,false,true,2026-02-15 01:30:55.947296+00,2026-03-03 17:30:26.030326+00,12,40,null,null,true,"[""unidad""]"
42,(A17) LED RGB 5050 CON FUENTE X 5M,a17-led-rgb-5050-con-fuente-x5m,"(A17) LED RGB 5050 CON FUENTE X 5M
* Stock disponible
* Precio por unidad: $11300
* Tipos de venta: unidad",11300.00,100,39,null,false,true,2026-02-15 01:30:55.178028+00,2026-03-03 17:30:47.990142+00,12,40,null,null,true,"[""unidad""]"
95,A43 - TIRA LED RGB 3M USB,a43-tira-led-rgb-3m-usb,"CARACTERISTICAS

- LED RGB DE 3M
- INCLUYE CONTROL Y CONECCION USB",6000.00,1000,39,null,false,true,2026-02-16 14:51:36.086751+00,2026-03-03 17:12:15.739015+00,12,40,null,null,true,"[""unidad""]"
96,"A44 - TIRA LED RGB USB DE 5M ",a44-tira-led-rgb-usb-de-5m,"CARACTERISTICA

- TIRA LED RGB 5050 X 5M - USB CON CONTROL Y APP
",12000.00,1000,39,null,false,true,2026-02-16 14:58:47.220543+00,2026-03-03 17:11:54.453031+00,12,40,null,null,true,"[""unidad""]"
97,A41 - MEDIA ESFERA LED MP3,a41-media-esfera-led-mp3,"CARACTERISTICA

- ESFERA DE LUZ CON PARLANTE Y CONTROL ",18000.00,1000,39,null,false,true,2026-02-16 14:59:56.545468+00,2026-03-08 05:33:26.755401+00,12,40,null,null,true,"[""unidad""]"
98,A42 - FOCO CON LUZ GIRATORIO MULTICOLOR,a42-foco-con-luz-giratorio-multicolor,"CARACTERISTICA

- FOCO DE LUZ GIRATORIO ",3000.00,1000,39,null,false,true,2026-02-16 15:01:00.700548+00,2026-03-03 17:11:11.012234+00,12,40,null,null,true,"[""unidad""]"
99,B14 COLLAR LED X 12 UNI,b-14-collar-led,"CARACTERISTICA

- INCLUYE LED ALAMBRE MULTICOLOR",16300.00,1000,40,null,false,true,2026-02-16 15:03:07.082353+00,2026-03-20 12:06:25.073397+00,10,40,16300.00,null,true,"[""unidad""]"
100,"(B16) - SOMBREROS LED ",b-16-sombreros-led,"CARACTERISTICA

- SOMBREROS COLOR SURTIDO INCLUYE LED ALAMBRE MULTICOLOR
- EL PAQUETE DE 12 UNI VIENE EN COLORES SURTIDOS",3600.00,1000,40,null,false,true,2026-02-16 15:05:20.502855+00,2026-03-20 12:12:11.04467+00,12,10,36800.00,null,true,"[""unidad"",""paquete""]"
101,B103 - SOMBRERO CON LENTEJUELAS LED,b103-sombrero-con-lentejuelas-led,"CARACTERISTICA

- SOMBREROS CON LENTEJUELA INCLUYE LED ALAMBRE MULTICOLOR
- EL PAQUETE DE 12 UNI VIENE EN COLORES SURTIDOS",8000.00,1000,40,null,false,true,2026-02-16 15:10:17.10979+00,2026-03-20 12:12:34.784734+00,12,10,86400.00,null,true,"[""unidad"",""paquete""]"
